Date,IBM,TXN,CSCO,QCOM,ORCL,NOK,AMAT,SnP
3/27/2007,73.680733,24.416527,21.264938,33.676712,16.646297,14.623427,15.222738,2341.590088
3/28/2007,73.31517,24.009846,21.076317,33.574009,16.358208,14.423992,15.06921,2358.570068
3/29/2007,73.556297,23.767401,20.854891,33.376514,16.349207,14.7328,14.948015,2361.129883
3/30/2007,73.31517,23.540598,20.936901,33.700401,16.322195,14.745668,14.802573,2368.060059
4/2/2007,74.054077,23.384178,20.83029,34.032188,16.331207,14.604129,14.8349,2362.719971
4/3/2007,74.74633,23.517134,21.199331,34.529884,16.529263,14.771402,14.826815,2358.840088
4/4/2007,74.831902,23.931631,21.404352,34.482494,16.709316,15.015877,15.06921,2360.159912
4/5/2007,75.072998,24.103685,21.371544,34.205986,16.80835,15.144547,15.093461,2352.949951
4/9/2007,75.150772,24.103685,21.486357,33.716209,16.718321,15.144547,15.06921,2357.48999
4/10/2007,75.026337,24.447802,21.314138,33.968998,16.970402,15.273217,15.683298,2355.540039
4/11/2007,74.015213,24.072409,21.150126,33.258015,16.736328,15.041611,15.537858,2357.159912
4/12/2007,74.411873,24.244469,21.297745,33.653011,16.835356,15.105946,15.634815,2353.780029
4/13/2007,73.836296,24.111515,21.880005,33.613514,16.772341,15.305386,15.416656,2344.929932
4/16/2007,74.808556,24.643332,21.830803,34.277084,17.015417,15.45979,15.545935,2328.949951
4/17/2007,75.53968,24.486912,22.011215,34.261288,17.006405,15.389023,15.642895,2349.01001
4/18/2007,73.735191,24.98745,22.035818,33.945286,16.86237,15.356854,15.901452,2342.189941
4/19/2007,73.338524,25.409765,21.880005,34.253391,16.889374,15.858667,15.828736,2338.169922
4/20/2007,73.564079,25.417591,22.134233,34.31657,17.105448,16.116009,15.739856,2355.840088
4/23/2007,74.054077,25.347195,21.797995,33.882095,17.051428,16.013075,15.489373,2348.689941
4/24/2007,76.605247,27.310223,21.592972,35.043358,16.943392,16.141745,15.747938,2374.149902
4/25/2007,78.915291,27.638693,21.962013,35.817543,17.015417,16.309015,15.747938,2388.610107
4/26/2007,78.479759,27.560307,21.773394,35.785942,17.060438,16.521326,15.594414,2387.449951
4/27/2007,78.689766,27.301636,22.167038,35.256657,17.195473,16.469856,15.594414,2388.77002
4/30/2007,79.498688,26.941059,21.929213,34.600979,16.925386,16.24468,15.529775,2384.199951
5/1/2007,80.245346,27.309475,22.027618,34.577282,16.736328,16.296148,15.691373,2388.330078
5/2/2007,79.506462,27.521111,22.691891,34.972263,16.979412,16.540621,15.731778,2391.169922
5/3/2007,79.957581,27.50544,22.716497,34.980167,17.123446,16.495588,15.756013,2388.129883
5/4/2007,80.082016,27.560307,22.888714,34.837967,17.132458,16.702812,15.958013,2389.52002
5/7/2007,80.237579,27.591656,22.806707,34.719475,17.150457,16.48572,15.990332,2399.290039
5/8/2007,80.651405,27.56815,23.257763,34.893265,17.060438,16.340994,15.707532,2399.379883
5/9/2007,81.502495,28.869341,21.740591,34.972263,16.9524,16.531769,15.909536,2396.919922
5/10/2007,81.736755,28.704731,21.560167,34.687878,16.646297,16.084436,15.497458,2399.629883
5/11/2007,82.751823,28.767441,21.838999,35.438347,17.087442,16.4923,15.974172,2394.439941
5/14/2007,82.431709,28.947729,21.560167,34.956463,17.051428,17.077787,16.547855,2390.899902
5/15/2007,81.853889,28.743919,21.428953,34.893265,16.961403,17.308033,16.029221,2402.320068
5/16/2007,82.665955,28.540131,21.71599,35.588448,17.096443,17.538282,15.534883,2400.669922
5/17/2007,82.228699,28.171713,21.551966,35.406757,17.150457,17.479074,15.348498,2357.030029
5/18/2007,84.321274,28.116842,21.494562,35.714848,17.330513,17.788265,15.275564,2365.719971
5/21/2007,83.579506,27.866014,21.650375,36.441631,17.393539,17.742212,15.316082,2381.72998
5/22/2007,83.314026,27.818977,21.625782,36.639122,17.438555,17.386974,15.534883,2394.02002
5/23/2007,82.439507,27.442724,21.297745,35.422554,17.249489,17.360661,15.534883,2398.419922
5/24/2007,81.166733,27.129179,20.83029,34.435078,16.880373,17.275145,15.421434,2404.389893
5/25/2007,82.127167,27.348669,20.928696,34.245483,17.321516,17.544861,15.583509,2415.070068
5/29/2007,82.697166,27.3957,21.240332,34.980167,17.384535,17.41329,15.567302,2415.820068
5/30/2007,83.493629,27.442724,21.642174,33.93409,17.483564,17.867208,15.340396,2412.909912
5/31/2007,83.235931,27.717073,22.076824,34.037102,17.447552,18.011934,15.478163,2411.800049
6/1/2007,83.189079,28.156034,22.027618,33.894463,17.699633,18.544794,15.672653,2430.060059
6/4/2007,82.947052,27.983585,22.150635,33.426903,17.708639,18.748728,15.599722,2439.070068
6/5/2007,82.642532,27.599495,22.306452,33.672569,17.53758,18.63689,15.445743,2436.100098
6/6/2007,79.964279,27.466246,21.8144,33.46653,17.420549,18.564529,15.421434,2429.330078
6/7/2007,79.487984,26.956728,21.199331,32.507614,16.86237,18.202711,14.910894,2433.139893
6/8/2007,80.479645,28.195234,21.71599,33.181225,17.159464,18.452694,15.226942,2433.790039
6/11/2007,80.596756,28.054131,21.584772,32.800831,17.29451,18.623734,15.08918,2431.77002
6/12/2007,79.909637,27.466246,21.371544,33.133686,16.961403,18.090874,14.991933,2429.389893
6/13/2007,80.518677,28.093325,21.756996,33.759747,17.37553,18.479006,15.494368,2440.350098
6/14/2007,81.088692,28.71258,22.003017,33.7756,17.681625,18.801355,15.737484,2437.919922
6/15/2007,82.056908,28.892857,22.462273,33.783516,17.879688,19.084229,16.085945,2432.459961
6/18/2007,82.244286,29.394526,22.314653,33.54578,17.816673,18.847401,16.069733,2433.149902
6/19/2007,83.157845,28.979074,22.388462,33.831062,17.897705,18.821091,16.029221,2453.459961
6/20/2007,82.767456,28.806637,22.306452,34.13221,17.582603,18.610579,15.907655,2437.030029
6/21/2007,83.235931,29.378836,22.404861,34.520531,17.71764,18.4198,16.337158,2435.610107
6/22/2007,81.549355,29.088825,22.076824,34.068794,17.456554,18.261913,16.410097,2434.5
6/25/2007,82.064682,29.057468,22.167038,33.704269,17.53758,18.150084,16.110256,2438.300049
6/26/2007,82.244286,29.033958,22.265444,33.94994,17.249489,18.090874,15.988702,2439.070068
6/27/2007,82.322365,29.613997,22.363855,34.409584,17.726641,18.196131,16.491135,2419.379883
6/28/2007,82.728416,29.58264,22.839514,34.44128,17.870687,18.393486,16.183195,2440.689941
6/29/2007,82.181824,29.496424,22.839514,34.385803,17.74465,18.492167,16.102154,2419.699951
7/2/2007,81.994438,29.833485,22.872318,34.813744,17.933708,18.781616,16.345264,2423.409912
7/3/2007,83.220314,29.943218,23.044533,34.758274,18.068754,19.163172,16.377672,2429.01001
7/5/2007,84.368149,29.880522,23.265965,34.504681,18.446877,18.867138,16.248016,2432.540039
7/6/2007,85.133331,30.052969,23.347965,34.536381,18.365847,19.025023,16.199392,2409.75
7/9/2007,85.086517,29.982418,23.331564,34.544304,18.14978,19.097387,16.345264,2425.179932
7/10/2007,84.820999,29.872677,23.216749,34.243153,17.753653,18.932924,16.077839,2427.429932
7/11/2007,85.188004,29.872677,23.585796,34.742435,17.987724,18.985552,16.215605,2425.530029
7/12/2007,85.328552,30.374352,24.438688,35.859833,18.455875,19.702608,16.815277,2443.25
7/13/2007,84.797577,30.335144,24.512495,35.939068,18.365847,19.676294,16.596476,2447.830078
7/16/2007,85.625275,30.625179,24.512495,35.685478,18.185793,19.636822,16.70993,2459.27002
7/17/2007,86.491974,30.711411,24.381279,35.685478,18.347837,19.781551,17.666176,2459.139893
7/18/2007,86.734055,30.194054,24.14345,35.74094,18.374849,19.557882,17.552719,2460.610107
7/19/2007,90.46637,30.099989,24.553501,34.354099,18.545904,19.571037,17.649969,2473.830078
7/20/2007,89.646523,29.794298,24.26647,34.076729,18.554909,19.26185,17.390646,2473.449951
7/23/2007,90.872421,29.927546,24.815928,33.878613,18.707956,19.07765,17.374445,2472.540039
7/24/2007,90.708427,28.579321,24.405878,34.140137,18.581919,18.781616,17.269093,2469.909912
7/25/2007,92.215439,28.837982,24.528894,33.640869,18.527905,18.51848,17.625658,2477.129883
7/26/2007,90.989525,28.195234,24.332071,33.347649,18.014732,18.229023,17.504095,2477.830078
7/27/2007,90.278954,27.598171,23.758013,33.022736,17.663624,18.393486,17.47168,2475.419922
7/30/2007,89.420082,28.242361,24.184454,33.704269,17.627617,18.801355,17.84446,2472.100098
